event_id,date,lat,lon,dep,mag
133,2017-08-18T00:53:53.490,-15.4084,-71.2687,140.87,4.4
134,2017-08-14T08:13:32.670,-10.8234,-75.2193,13.31,4.6
135,2017-08-14T06:25:18.870,-10.7356,-75.2522,39.04,4.7
136,2017-08-13T16:51:24.050,-10.7214,-74.5662,32,5.8
137,2017-08-12T06:30:45.130,-13.7139,-76.3176,43.49,4.3
138,2017-08-12T02:45:49.950,-8.8914,-75.5251,116.87,4.7
139,2017-08-11T21:45:09.400,-16.2986,-73.4744,41,5.6
140,2017-08-11T20:17:56.700,-5.2372,-80.9377,42.74,4.7
141,2017-08-09T22:03:17.330,-3.7161,-74.0341,10,4.2
142,2017-08-05T06:17:35.610,-16.7103,-71.0269,118.75,4.1
143,2017-08-03T23:17:22.410,-10.6215,-78.1232,58.2,4.8
144,2017-08-03T07:35:58.840,-10.8534,-75.1831,30.63,4.3
145,2017-08-02T20:10:56.730,-8.5233,-76.0308,42.65,4.7
146,2017-07-28T09:50:18.420,-7.6524,-75.7117,10,4.7
147,2017-07-27T14:02:07.680,-10.5165,-74.5667,120.96,4.6
148,2017-07-26T20:59:51.190,-7.4809,-75.667,20.59,5.1
149,2017-07-21T15:22:19.070,-15.7489,-74.4664,40.6,4.9
150,2017-07-20T21:00:18.550,-13.9267,-76.2137,35,4.5
151,2017-07-20T16:56:28.320,-14.0661,-73.4982,71.64,4.3
152,2017-07-19T10:05:18.170,-6.0752,-76.8929,64.33,4.3
153,2017-07-19T01:38:03.780,-13.5484,-76.8768,10,4.2
154,2017-07-18T17:48:19.470,-16.5137,-73.8748,45.89,4.3
155,2017-07-18T02:05:19.750,-16.4161,-73.6357,43.68,6.4
156,2017-07-14T17:41:43.410,-10.8193,-77.0692,119.14,4.4
157,2017-07-13T05:12:56.490,-14.4787,-76.4897,36.66,4.2
158,2017-07-11T22:28:24.870,-10.9801,-75.4316,15.98,4.4
159,2017-07-09T01:07:26.850,-11.6445,-77.1503,69.95,4.7
160,2017-07-08T04:51:58.380,-9.1044,-74.2661,146.71,4.7
161,2017-07-06T23:23:08.770,-10.4697,-78.2763,59.63,4.7
162,2017-07-04T16:33:58.170,-15.6786,-73.9824,67.17,4.4
163,2017-07-01T16:56:45.190,-10.7957,-74.6379,56.14,4.6
164,2017-06-30T08:36:25.660,-12.5794,-77.1242,39.96,4.3
165,2017-06-28T09:48:12.950,-12.7248,-76.704,55.92,4.2
166,2017-06-25T03:03:41.430,-4.4632,-80.029,77.89,4.3
167,2017-06-24T16:09:14.320,-15.4141,-73.3855,97,5.7
168,2017-06-24T09:25:20.730,-15.8225,-73.0764,165.64,4.1
169,2017-06-19T04:16:34.420,-3.6098,-77.1071,106.49,4.6
170,2017-06-18T08:05:50.000,-8.3328,-74.3205,165.29,4.2
171,2017-06-18T05:24:35.280,-14.4634,-76.295,24.81,4.3
172,2017-06-16T13:27:41.630,-16.4888,-70.1618,207.65,4
